MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 11, 2020 - DAL vs. DEN",W,48,113,42,92,45.7,12,35,34.3,17,23,73.9,13,39,52,23,11,9,2,14
"Mar 10, 2020 - DAL @ SAS",L,48,109,42,92,45.7,17,44,38.6,8,11,72.7,7,35,42,23,14,8,3,19
"Mar 08, 2020 - DAL vs. IND",L,48,109,39,91,42.9,14,43,32.6,17,25,68.0,9,33,42,19,11,7,5,17
"Mar 06, 2020 - DAL vs. MEM",W,48,121,45,95,47.4,18,47,38.3,13,17,76.5,13,35,48,30,11,11,9,11
"Mar 04, 2020 - DAL vs. NOP",W,53,127,44,95,46.3,22,50,44.0,17,24,70.8,6,43,49,30,17,6,13,17
"Mar 02, 2020 - DAL @ CHI",L,48,107,40,84,47.6,12,42,28.6,15,20,75.0,9,35,44,26,18,9,5,20
"Mar 01, 2020 - DAL @ MIN",W,48,111,44,94,46.8,11,40,27.5,12,19,63.2,6,50,56,28,14,10,7,16
"Feb 28, 2020 - DAL @ MIA",L,48,118,40,84,47.6,21,50,42.0,17,19,89.5,4,31,35,25,11,0,3,25
"Feb 26, 2020 - DAL @ SAS",W,48,109,36,86,41.9,17,45,37.8,20,30,66.7,5,38,43,25,16,11,9,20
"Feb 24, 2020 - DAL vs. MIN",W,48,139,51,101,50.5,16,44,36.4,21,28,75.0,14,40,54,28,13,7,3,28
"Feb 22, 2020 - DAL @ ATL",L,48,107,40,89,44.9,14,44,31.8,13,19,68.4,10,38,48,23,16,5,10,22
"Feb 21, 2020 - DAL @ ORL",W,48,122,43,84,51.2,15,38,39.5,21,26,80.8,8,42,50,26,16,6,7,14
"Feb 12, 2020 - DAL vs. SAC",W,48,130,48,85,56.5,17,40,42.5,17,21,81.0,3,44,47,34,12,1,7,18
"Feb 10, 2020 - DAL vs. UTA",L,48,119,39,83,47.0,15,43,34.9,26,31,83.9,4,22,26,24,7,8,3,18
"Feb 08, 2020 - DAL @ CHA",W,48,116,44,87,50.6,17,35,48.6,11,11,100,11,35,46,29,12,5,6,18
"Feb 07, 2020 - DAL @ WAS",L,48,118,42,91,46.2,16,40,40.0,18,21,85.7,15,34,49,27,14,7,2,21
"Feb 05, 2020 - DAL vs. MEM",L,48,107,34,94,36.2,17,43,39.5,22,24,91.7,12,30,42,19,9,5,6,18
"Feb 03, 2020 - DAL @ IND",W,48,112,36,86,41.9,18,45,40.0,22,23,95.7,12,39,51,20,12,3,2,15
"Feb 01, 2020 - DAL vs. ATL",W,48,123,44,94,46.8,20,39,51.3,15,16,93.8,10,43,53,26,9,6,8,14
"Jan 31, 2020 - DAL @ HOU",L,48,121,43,90,47.8,14,36,38.9,21,27,77.8,14,38,52,29,17,2,9,18
"Jan 28, 2020 - DAL vs. PHX",L,48,104,37,83,44.6,7,33,21.2,23,27,85.2,8,25,33,19,17,6,0,18
"Jan 27, 2020 - DAL @ OKC",W,48,107,41,99,41.4,19,51,37.3,6,9,66.7,12,44,56,21,9,3,3,16
