MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 11, 2020 - DET @ PHI",L,48,106,39,84,46.4,11,35,31.4,17,25,68.0,6,26,32,25,9,10,3,24
"Mar 08, 2020 - DET @ NYK",L,48,84,29,80,36.3,11,38,28.9,15,22,68.2,5,30,35,21,13,8,2,19
"Mar 07, 2020 - DET vs. UTA",L,48,105,40,86,46.5,9,30,30.0,16,22,72.7,10,28,38,24,11,4,2,23
"Mar 04, 2020 - DET vs. OKC",L,48,107,40,86,46.5,18,43,41.9,9,15,60.0,9,27,36,27,17,8,5,21
"Mar 01, 2020 - DET @ SAC",L,48,100,33,80,41.3,18,42,42.9,16,24,66.7,7,35,42,23,16,6,4,25
"Feb 28, 2020 - DET @ PHX",W,48,113,44,90,48.9,13,32,40.6,12,16,75.0,10,21,31,27,10,14,3,19
"Feb 25, 2020 - DET @ DEN",L,48,98,33,81,40.7,15,41,36.6,17,21,81.0,12,21,33,24,16,8,2,26
"Feb 23, 2020 - DET @ POR",L,48,104,37,86,43.0,11,35,31.4,19,20,95.0,11,33,44,18,11,7,5,17
"Feb 20, 2020 - DET vs. MIL",L,48,106,40,83,48.2,13,37,35.1,13,16,81.3,7,39,46,25,22,3,5,23
"Feb 12, 2020 - DET @ ORL",L,53,112,40,92,43.5,18,45,40.0,14,15,93.3,9,38,47,28,21,5,7,20
"Feb 10, 2020 - DET vs. CHA",L,48,76,29,82,35.4,7,35,20.0,11,13,84.6,19,33,52,21,21,4,5,18
"Feb 08, 2020 - DET vs. NYK",L,48,92,34,69,49.3,13,29,44.8,11,16,68.8,3,25,28,21,16,5,7,19
"Feb 07, 2020 - DET @ OKC",L,48,101,38,89,42.7,11,38,28.9,14,19,73.7,14,23,37,19,11,7,1,23
"Feb 05, 2020 - DET vs. PHX",W,48,116,46,95,48.4,12,28,42.9,12,16,75.0,14,28,42,31,9,9,2,15
"Feb 03, 2020 - DET @ MEM",L,48,82,34,98,34.7,8,26,30.8,6,9,66.7,16,35,51,21,16,6,2,13
"Feb 02, 2020 - DET vs. DEN",W,53,128,48,94,51.1,14,31,45.2,18,24,75.0,11,32,43,33,12,4,2,22
"Jan 31, 2020 - DET vs. TOR",L,48,92,28,79,35.4,11,36,30.6,25,34,73.5,13,32,45,18,17,5,6,12
"Jan 29, 2020 - DET @ BKN",L,48,115,42,83,50.6,10,26,38.5,21,28,75.0,9,32,41,25,16,6,5,20
"Jan 27, 2020 - DET vs. CLE",L,48,100,38,84,45.2,12,35,34.3,12,17,70.6,9,28,37,18,18,8,7,20
"Jan 25, 2020 - DET vs. BKN",L,53,111,43,104,41.3,13,35,37.1,12,18,66.7,14,38,52,20,8,5,3,25
"Jan 24, 2020 - DET vs. MEM",L,48,112,39,91,42.9,11,32,34.4,23,31,74.2,10,27,37,23,8,8,1,23
"Jan 22, 2020 - DET vs. SAC",W,48,127,39,73,53.4,12,29,41.4,37,44,84.1,3,45,48,19,17,9,4,19
"Jan 20, 2020 - DET @ WAS",L,48,100,38,89,42.7,10,32,31.3,14,20,70.0,11,30,41,19,17,10,5,18
"Jan 18, 2020 - DET @ ATL",W,48,136,51,86,59.3,15,32,46.9,19,25,76.0,11,30,41,31,18,12,8,18
"Jan 15, 2020 - DET @ BOS",W,48,116,47,78,60.3,12,32,37.5,10,19,52.6,3,31,34,30,13,8,4,19
"Jan 13, 2020 - DET vs. NOP",L,53,110,40,99,40.4,11,32,34.4,19,24,79.2,5,38,43,27,9,11,8,25
"Jan 11, 2020 - DET vs. CHI",L,48,99,36,78,46.2,9,28,32.1,18,27,66.7,12,30,42,22,19,7,4,20
"Jan 09, 2020 - DET vs. CLE",L,53,112,48,98,49.0,6,20,30.0,10,16,62.5,19,27,46,20,16,8,9,25
"Jan 07, 2020 - DET @ CLE",W,48,115,42,91,46.2,13,33,39.4,18,21,85.7,10,30,40,26,9,8,3,15
"Jan 05, 2020 - DET @ LAL",L,48,99,29,78,37.2,11,26,42.3,30,35,85.7,6,37,43,21,16,8,6,22
"Jan 04, 2020 - DET @ GSW",W,48,111,43,83,51.8,11,27,40.7,14,16,87.5,9,37,46,24,21,13,5,25
"Jan 02, 2020 - DET @ LAC",L,48,112,40,94,42.6,7,33,21.2,25,35,71.4,12,33,45,20,11,10,1,23
"Dec 30, 2019 - DET @ UTA",L,48,81,30,79,38.0,4,14,28.6,17,23,73.9,10,33,43,14,17,10,5,20
"Dec 28, 2019 - DET @ SAS",L,48,109,40,90,44.4,12,36,33.3,17,30,56.7,10,30,40,20,11,9,5,15
"Dec 26, 2019 - DET vs. WAS",W,48,132,46,86,53.5,19,48,39.6,21,26,80.8,11,37,48,32,15,5,5,23
"Dec 23, 2019 - DET vs. PHI",L,48,109,43,84,51.2,10,30,33.3,13,18,72.2,6,24,30,27,14,9,1,14
"Dec 21, 2019 - DET vs. CHI",L,48,107,40,87,46.0,16,35,45.7,11,12,91.7,6,23,29,30,16,14,4,20
"Dec 20, 2019 - DET @ BOS",L,48,93,34,85,40.0,11,31,35.5,14,19,73.7,11,25,36,21,25,13,2,16
"Dec 18, 2019 - DET vs. TOR",L,48,99,39,87,44.8,6,35,17.1,15,22,68.2,10,38,48,19,15,7,6,17
"Dec 16, 2019 - DET vs. WAS",L,48,119,41,86,47.7,13,39,33.3,24,34,70.6,12,24,36,29,14,6,4,19
"Dec 14, 2019 - DET @ HOU",W,48,115,41,92,44.6,12,37,32.4,21,25,84.0,11,44,55,27,14,6,6,15
"Dec 12, 2019 - DET vs. DAL",L,48,111,40,89,44.9,15,42,35.7,16,23,69.6,5,29,34,23,8,8,2,16
"Dec 09, 2019 - DET @ NOP",W,48,105,36,85,42.4,11,35,31.4,22,27,81.5,10,36,46,15,19,6,3,20
"Dec 06, 2019 - DET vs. IND",W,48,108,39,87,44.8,11,25,44.0,19,26,73.1,14,37,51,21,18,7,5,17
"Dec 04, 2019 - DET vs. MIL",L,48,103,39,93,41.9,11,36,30.6,14,22,63.6,9,31,40,25,12,5,3,19
"Dec 03, 2019 - DET @ CLE",W,48,127,51,94,54.3,18,35,51.4,7,11,63.6,10,36,46,33,11,11,7,16
"Dec 01, 2019 - DET vs. SAS",W,48,132,52,88,59.1,15,31,48.4,13,18,72.2,11,39,50,33,17,5,5,14
"Nov 29, 2019 - DET vs. CHA",L,48,107,41,83,49.4,15,35,42.9,10,20,50.0,14,31,45,27,14,5,4,16
"Nov 27, 2019 - DET @ CHA",L,48,101,41,88,46.6,10,32,31.3,9,15,60.0,9,37,46,23,9,2,2,18
"Nov 25, 2019 - DET vs. ORL",W,48,103,34,79,43.0,14,38,36.8,21,25,84.0,9,40,49,23,15,6,5,20
