MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - GSW vs. LAC",L,48,107,37,79,46.8,11,38,28.9,22,27,81.5,4,31,35,25,10,3,0,17
"Mar 07, 2020 - GSW vs. PHI",W,48,118,44,80,55.0,9,25,36.0,21,28,75.0,7,28,35,30,7,4,2,19
"Mar 05, 2020 - GSW vs. TOR",L,48,113,40,98,40.8,14,52,26.9,19,25,76.0,14,38,52,34,16,4,5,23
"Mar 03, 2020 - GSW @ DEN",W,48,116,42,82,51.2,18,41,43.9,14,22,63.6,5,30,35,31,11,8,3,23
"Mar 01, 2020 - GSW vs. WAS",L,48,110,42,89,47.2,9,28,32.1,17,24,70.8,18,34,52,25,22,7,7,24
"Feb 29, 2020 - GSW @ PHX",W,48,115,41,87,47.1,9,30,30.0,24,32,75.0,13,36,49,30,10,9,6,21
"Feb 27, 2020 - GSW vs. LAL",L,48,86,34,80,42.5,9,32,28.1,9,10,90.0,5,32,37,27,27,7,3,27
"Feb 25, 2020 - GSW vs. SAC",L,48,94,35,79,44.3,4,28,14.3,20,24,83.3,5,29,34,21,17,7,2,25
"Feb 23, 2020 - GSW vs. NOP",L,48,101,40,92,43.5,11,35,31.4,10,15,66.7,11,37,48,28,15,9,7,16
"Feb 20, 2020 - GSW vs. HOU",L,48,105,44,89,49.4,7,33,21.2,10,12,83.3,13,27,40,26,23,11,7,16
"Feb 12, 2020 - GSW @ PHX",L,48,106,39,77,50.6,11,31,35.5,17,19,89.5,4,34,38,27,22,8,7,20
"Feb 10, 2020 - GSW vs. MIA",L,48,101,30,77,39.0,11,34,32.4,30,34,88.2,6,34,40,23,16,8,2,21
"Feb 08, 2020 - GSW vs. LAL",L,48,120,46,89,51.7,13,32,40.6,15,23,65.2,8,25,33,31,18,15,6,27
"Feb 05, 2020 - GSW @ BKN",L,48,88,35,96,36.5,5,39,12.8,13,18,72.2,7,27,34,20,7,6,7,14
"Feb 03, 2020 - GSW @ WAS",W,48,125,43,87,49.4,15,30,50.0,24,31,77.4,12,32,44,31,14,8,6,25
"Feb 01, 2020 - GSW @ CLE",W,48,131,48,90,53.3,18,35,51.4,17,19,89.5,10,34,44,39,11,11,10,16
"Jan 30, 2020 - GSW @ BOS",L,48,104,33,77,42.9,12,39,30.8,26,30,86.7,3,27,30,24,17,11,6,19
"Jan 28, 2020 - GSW @ PHI",L,48,104,37,87,42.5,15,40,37.5,15,21,71.4,6,34,40,29,14,6,3,24
"Jan 24, 2020 - GSW vs. IND",L,48,118,40,82,48.8,19,39,48.7,19,23,82.6,7,31,38,31,20,6,3,16
"Jan 22, 2020 - GSW vs. UTA",L,48,96,35,88,39.8,6,23,26.1,20,24,83.3,11,26,37,20,8,5,5,23
"Jan 20, 2020 - GSW @ POR",L,53,124,48,116,41.4,9,36,25.0,19,22,86.4,19,41,60,30,9,7,5,25
"Jan 18, 2020 - GSW vs. ORL",W,48,109,43,94,45.7,12,40,30.0,11,11,100,7,37,44,25,11,9,2,13
"Jan 16, 2020 - GSW vs. DEN",L,53,131,42,95,44.2,20,45,44.4,27,31,87.1,10,32,42,36,19,12,6,20
"Jan 14, 2020 - GSW vs. DAL",L,48,97,39,87,44.8,9,32,28.1,10,13,76.9,7,29,36,27,14,4,1,16
"Jan 12, 2020 - GSW @ MEM",L,48,102,35,92,38.0,17,34,50.0,15,21,71.4,12,35,47,23,22,11,6,18
"Jan 10, 2020 - GSW @ LAC",L,48,100,37,96,38.5,8,39,20.5,18,25,72.0,13,33,46,28,10,9,1,22
"Jan 08, 2020 - GSW vs. MIL",L,48,98,33,87,37.9,15,38,39.5,17,20,85.0,12,40,52,29,19,7,4,30
"Jan 06, 2020 - GSW @ SAC",L,48,98,34,86,39.5,5,26,19.2,25,32,78.1,10,34,44,19,19,13,4,18
"Jan 04, 2020 - GSW vs. DET",L,48,104,33,82,40.2,11,21,52.4,27,32,84.4,11,31,42,26,14,13,3,19
"Jan 02, 2020 - GSW @ MIN",L,48,84,33,77,42.9,3,20,15.0,15,21,71.4,7,36,43,20,17,9,1,20
"Dec 31, 2019 - GSW @ SAS",L,53,113,44,96,45.8,12,27,44.4,13,18,72.2,9,35,44,31,9,5,6,14
"Dec 28, 2019 - GSW vs. DAL",L,48,121,45,93,48.4,18,39,46.2,13,17,76.5,9,33,42,28,13,4,3,19
"Dec 27, 2019 - GSW vs. PHX",W,48,105,38,92,41.3,9,27,33.3,20,25,80.0,11,30,41,22,11,10,5,17
"Dec 25, 2019 - GSW vs. HOU",W,48,116,41,87,47.1,9,28,32.1,25,28,89.3,11,43,54,27,16,7,8,18
"Dec 23, 2019 - GSW vs. MIN",W,48,113,38,87,43.7,12,30,40.0,25,30,83.3,13,42,55,27,20,11,6,27
"Dec 20, 2019 - GSW vs. NOP",W,48,106,36,83,43.4,10,33,30.3,24,25,96.0,10,37,47,25,18,10,4,24
"Dec 18, 2019 - GSW @ POR",L,48,112,41,103,39.8,16,38,42.1,14,23,60.9,17,33,50,24,8,7,7,23
"Dec 15, 2019 - GSW vs. SAC",L,48,79,30,76,39.5,6,25,24.0,13,18,72.2,7,18,25,24,21,14,1,17
"Dec 13, 2019 - GSW @ UTA",L,48,106,41,91,45.1,9,29,31.0,15,22,68.2,14,34,48,19,12,9,7,26
"Dec 11, 2019 - GSW vs. NYK",L,53,122,45,104,43.3,10,37,27.0,22,30,73.3,14,32,46,27,8,10,6,25
"Dec 09, 2019 - GSW vs. MEM",L,48,102,35,93,37.6,11,27,40.7,21,25,84.0,10,36,46,23,16,10,6,21
"Dec 06, 2019 - GSW @ CHI",W,48,100,38,71,53.5,9,24,37.5,15,22,68.2,6,33,39,24,20,9,4,19
"Dec 04, 2019 - GSW @ CHA",L,48,91,36,78,46.2,9,23,39.1,10,15,66.7,6,31,37,18,16,7,3,12
"Dec 02, 2019 - GSW @ ATL",L,48,79,33,83,39.8,3,17,17.6,10,12,83.3,18,28,46,17,25,11,8,20
"Dec 01, 2019 - GSW @ ORL",L,48,96,36,91,39.6,6,23,26.1,18,23,78.3,15,31,46,21,12,6,5,17
"Nov 29, 2019 - GSW @ MIA",L,48,105,30,77,39.0,10,28,35.7,35,40,87.5,5,26,31,19,9,4,3,23
"Nov 27, 2019 - GSW vs. CHI",W,48,104,37,81,45.7,11,29,37.9,19,26,73.1,13,41,54,31,21,12,9,17
"Nov 25, 2019 - GSW vs. OKC",L,48,97,37,89,41.6,9,20,45.0,14,16,87.5,9,32,41,27,13,10,7,17
"Nov 22, 2019 - GSW @ UTA",L,48,109,43,94,45.7,12,28,42.9,11,12,91.7,6,31,37,28,9,11,3,18
"Nov 20, 2019 - GSW @ DAL",L,48,94,35,90,38.9,8,27,29.6,16,25,64.0,9,25,34,18,10,7,5,16
