MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - HOU vs. MIN",W,48,117,41,80,51.3,15,38,39.5,20,26,76.9,5,28,33,24,18,9,5,20
"Mar 08, 2020 - HOU vs. ORL",L,48,106,39,88,44.3,9,32,28.1,19,25,76.0,11,27,38,21,18,10,7,23
"Mar 07, 2020 - HOU @ CHA",L,48,99,35,76,46.1,15,45,33.3,14,20,70.0,13,29,42,22,21,9,3,25
"Mar 05, 2020 - HOU vs. LAC",L,48,105,35,97,36.1,7,42,16.7,28,36,77.8,15,36,51,19,11,6,5,25
"Mar 02, 2020 - HOU @ NYK",L,48,123,39,94,41.5,20,56,35.7,25,27,92.6,8,26,34,25,12,11,5,20
"Feb 29, 2020 - HOU @ BOS",W,53,111,41,98,41.8,15,55,27.3,14,18,77.8,12,41,53,17,16,10,8,20
"Feb 26, 2020 - HOU vs. MEM",W,48,140,52,93,55.9,23,50,46.0,13,15,86.7,9,35,44,22,19,8,7,25
"Feb 24, 2020 - HOU vs. NYK",W,48,123,43,86,50.0,16,48,33.3,21,31,67.7,5,33,38,20,13,11,7,22
"Feb 22, 2020 - HOU @ UTA",W,48,120,45,92,48.9,20,48,41.7,10,14,71.4,6,36,42,20,10,9,5,25
"Feb 20, 2020 - HOU @ GSW",W,48,135,45,85,52.9,25,49,51.0,20,22,90.9,8,28,36,31,16,14,7,15
"Feb 11, 2020 - HOU vs. BOS",W,48,116,33,77,42.9,13,45,28.9,37,42,88.1,5,40,45,17,14,9,6,21
"Feb 09, 2020 - HOU vs. UTA",L,48,113,44,95,46.3,15,42,35.7,10,14,71.4,7,29,36,20,8,10,5,19
"Feb 07, 2020 - HOU @ PHX",L,48,91,29,85,34.1,11,48,22.9,22,26,84.6,8,21,29,16,16,8,5,21
"Feb 06, 2020 - HOU @ LAL",W,48,121,43,85,50.6,19,42,45.2,16,18,88.9,6,31,37,20,16,8,4,22
"Feb 04, 2020 - HOU vs. CHA",W,48,125,43,97,44.3,20,60,33.3,19,23,82.6,7,34,41,25,5,11,5,19
"Feb 02, 2020 - HOU vs. NOP",W,48,117,41,105,39.0,16,51,31.4,19,22,86.4,11,32,43,22,8,14,3,18
