MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - LAL vs. BKN",L,48,102,40,87,46.0,15,40,37.5,7,12,58.3,8,38,46,24,15,7,4,22
"Mar 08, 2020 - LAL @ LAC",W,48,112,39,87,44.8,10,35,28.6,24,28,85.7,9,36,45,22,14,8,7,28
"Mar 06, 2020 - LAL vs. MIL",W,48,113,38,91,41.8,6,32,18.8,31,38,81.6,10,42,52,19,16,11,4,27
"Mar 03, 2020 - LAL vs. PHI",W,48,120,46,86,53.5,13,33,39.4,15,18,83.3,10,33,43,25,13,9,6,18
"Mar 01, 2020 - LAL @ NOP",W,48,122,50,97,51.5,13,35,37.1,9,10,90.0,6,30,36,23,13,9,10,26
"Feb 29, 2020 - LAL @ MEM",L,48,88,36,87,41.4,9,35,25.7,7,12,58.3,13,32,45,26,16,5,3,13
"Feb 27, 2020 - LAL @ GSW",W,48,116,45,88,51.1,8,24,33.3,18,27,66.7,8,36,44,24,17,13,5,17
"Feb 25, 2020 - LAL vs. NOP",W,48,118,45,102,44.1,13,44,29.5,15,21,71.4,14,37,51,27,16,10,12,20
"Feb 23, 2020 - LAL vs. BOS",W,48,114,39,86,45.3,11,34,32.4,25,37,67.6,11,35,46,20,13,9,4,22
"Feb 21, 2020 - LAL vs. MEM",W,48,117,41,86,47.7,9,29,31.0,26,40,65.0,12,37,49,25,15,9,14,24
"Feb 12, 2020 - LAL @ DEN",W,53,120,47,93,50.5,12,33,36.4,14,27,51.9,10,39,49,29,12,8,4,22
"Feb 10, 2020 - LAL vs. PHX",W,48,125,47,91,51.6,14,37,37.8,17,25,68.0,16,43,59,28,16,8,4,22
"Feb 08, 2020 - LAL @ GSW",W,48,125,43,82,52.4,14,29,48.3,25,34,73.5,12,35,47,29,24,11,2,22
"Feb 06, 2020 - LAL vs. HOU",L,48,111,45,91,49.5,9,31,29.0,12,16,75.0,6,32,38,33,16,10,4,18
"Feb 04, 2020 - LAL vs. SAS",W,48,129,50,85,58.8,12,28,42.9,17,25,68.0,12,46,58,28,14,5,4,15
"Feb 01, 2020 - LAL @ SAC",W,48,129,44,86,51.2,19,43,44.2,22,27,81.5,11,35,46,33,15,10,5,22
"Jan 31, 2020 - LAL vs. POR",L,48,119,45,96,46.9,11,32,34.4,18,28,64.3,19,43,62,28,19,2,10,21
"Jan 25, 2020 - LAL @ PHI",L,48,91,35,76,46.1,6,31,19.4,15,23,65.2,6,29,35,23,22,12,1,18
"Jan 23, 2020 - LAL @ BKN",W,48,128,47,94,50.0,19,38,50.0,15,20,75.0,11,41,52,28,16,9,6,15
"Jan 22, 2020 - LAL @ NYK",W,48,100,36,82,43.9,9,27,33.3,19,28,67.9,11,32,43,18,10,13,8,14
"Jan 20, 2020 - LAL @ BOS",L,48,107,39,89,43.8,7,26,26.9,22,29,75.9,12,24,36,22,15,5,8,23
"Jan 18, 2020 - LAL @ HOU",W,48,124,45,93,48.4,11,33,33.3,23,32,71.9,15,34,49,25,17,13,9,27
"Jan 15, 2020 - LAL vs. ORL",L,48,118,48,97,49.5,15,38,39.5,7,11,63.6,13,35,48,34,16,7,6,20
