MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - MEM vs. ORL",L,48,115,38,76,50.0,11,29,37.9,28,38,73.7,7,32,39,24,21,7,5,22
"Mar 07, 2020 - MEM vs. ATL",W,48,118,43,87,49.4,12,33,36.4,20,33,60.6,15,43,58,27,17,9,6,18
"Mar 06, 2020 - MEM @ DAL",L,48,96,39,84,46.4,9,30,30.0,9,13,69.2,9,38,47,29,19,7,4,15
"Mar 04, 2020 - MEM @ BKN",W,48,118,43,100,43.0,20,44,45.5,12,14,85.7,18,41,59,21,12,8,5,15
"Mar 02, 2020 - MEM @ ATL",W,48,127,46,92,50.0,14,32,43.8,21,31,67.7,14,46,60,30,15,12,8,16
"Feb 29, 2020 - MEM vs. LAL",W,48,105,43,95,45.3,10,31,32.3,9,11,81.8,15,36,51,27,10,10,4,14
"Feb 28, 2020 - MEM vs. SAC",L,48,101,39,91,42.9,8,30,26.7,15,20,75.0,10,42,52,27,14,7,5,16
"Feb 26, 2020 - MEM @ HOU",L,48,112,43,108,39.8,13,39,33.3,13,21,61.9,22,27,49,28,16,9,3,16
"Feb 24, 2020 - MEM @ LAC",L,48,97,37,89,41.6,7,27,25.9,16,22,72.7,11,34,45,20,13,6,7,18
"Feb 21, 2020 - MEM @ LAL",L,48,105,42,92,45.7,5,15,33.3,16,31,51.6,16,34,50,22,17,9,1,27
"Feb 20, 2020 - MEM @ SAC",L,48,125,43,85,50.6,12,30,40.0,27,32,84.4,11,40,51,25,20,5,5,29
"Feb 12, 2020 - MEM vs. POR",W,48,111,45,95,47.4,6,23,26.1,15,22,68.2,15,42,57,26,12,8,9,18
"Feb 09, 2020 - MEM @ WAS",W,48,106,43,102,42.2,5,32,15.6,15,25,60.0,13,49,62,19,15,4,4,23
"Feb 07, 2020 - MEM @ PHI",L,48,107,38,93,40.9,5,21,23.8,26,31,83.9,9,31,40,25,14,13,6,15
"Feb 05, 2020 - MEM @ DAL",W,48,121,47,89,52.8,12,25,48.0,15,20,75.0,10,42,52,27,11,6,4,24
