MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 09, 2020 - MIL @ DEN",L,48,95,34,90,37.8,15,50,30.0,12,18,66.7,11,37,48,23,17,8,4,15
"Mar 08, 2020 - MIL @ PHX",L,48,131,51,95,53.7,13,33,39.4,16,21,76.2,7,29,36,23,10,7,3,29
"Mar 06, 2020 - MIL @ LAL",L,48,103,37,89,41.6,12,43,27.9,17,23,73.9,5,40,45,22,20,8,1,32
"Mar 04, 2020 - MIL vs. IND",W,48,119,43,94,45.7,13,46,28.3,20,22,90.9,11,45,56,26,18,8,4,14
"Mar 02, 2020 - MIL @ MIA",L,48,89,35,86,40.7,7,34,20.6,12,19,63.2,8,40,48,19,15,4,5,18
"Mar 01, 2020 - MIL @ CHA",W,48,93,35,87,40.2,7,31,22.6,16,21,76.2,15,46,61,20,17,7,6,11
"Feb 28, 2020 - MIL vs. OKC",W,48,133,50,100,50.0,21,45,46.7,12,14,85.7,14,52,66,34,17,6,2,21
"Feb 25, 2020 - MIL @ TOR",W,48,108,32,84,38.1,14,42,33.3,30,36,83.3,8,45,53,23,14,10,10,19
"Feb 24, 2020 - MIL @ WAS",W,53,137,49,86,57.0,17,37,45.9,22,27,81.5,4,41,45,26,21,7,4,28
"Feb 22, 2020 - MIL vs. PHI",W,48,119,48,91,52.7,14,41,34.1,9,13,69.2,8,49,57,35,17,2,6,16
"Feb 20, 2020 - MIL @ DET",W,48,126,47,93,50.5,10,33,30.3,22,27,81.5,8,33,41,24,8,14,3,15
"Feb 12, 2020 - MIL @ IND",L,48,111,37,91,40.7,13,37,35.1,24,25,96.0,11,33,44,18,18,7,5,21
"Feb 10, 2020 - MIL vs. SAC",W,48,123,43,96,44.8,18,42,42.9,19,23,82.6,8,47,55,26,13,7,5,18
"Feb 08, 2020 - MIL @ ORL",W,48,111,42,93,45.2,15,39,38.5,12,16,75.0,10,52,62,26,16,4,5,11
"Feb 06, 2020 - MIL vs. PHI",W,48,112,44,94,46.8,12,37,32.4,12,18,66.7,9,51,60,19,14,3,8,18
"Feb 04, 2020 - MIL @ NOP",W,48,120,48,102,47.1,11,36,30.6,13,17,76.5,8,45,53,34,17,11,7,19
"Feb 02, 2020 - MIL vs. PHX",W,48,129,48,97,49.5,15,38,39.5,18,27,66.7,16,44,60,30,17,4,12,25
"Jan 31, 2020 - MIL vs. DEN",L,48,115,43,95,45.3,12,40,30.0,17,26,65.4,7,39,46,29,13,7,5,14
"Jan 28, 2020 - MIL vs. WAS",W,48,151,50,90,55.6,19,37,51.4,32,35,91.4,11,35,46,31,15,3,3,26
"Jan 24, 2020 - MIL @ CHA",W,48,116,44,87,50.6,10,36,27.8,18,24,75.0,12,41,53,26,16,8,8,22
"Jan 20, 2020 - MIL vs. CHI",W,48,111,45,77,58.4,11,26,42.3,10,23,43.5,3,45,48,34,23,7,5,15
"Jan 18, 2020 - MIL @ BKN",W,48,117,45,89,50.6,17,37,45.9,10,16,62.5,5,49,54,30,20,8,6,16
"Jan 16, 2020 - MIL vs. BOS",W,48,128,43,87,49.4,16,31,51.6,26,37,70.3,7,43,50,21,10,6,6,22
"Jan 14, 2020 - MIL vs. NYK",W,48,128,45,92,48.9,15,36,41.7,23,28,82.1,8,51,59,27,14,4,8,22
"Jan 11, 2020 - MIL @ POR",W,48,122,47,103,45.6,14,38,36.8,14,20,70.0,10,50,60,21,10,6,5,16
"Jan 10, 2020 - MIL @ SAC",W,48,127,47,95,49.5,10,39,25.6,23,30,76.7,7,45,52,29,11,11,4,12
"Jan 08, 2020 - MIL @ GSW",W,48,107,35,87,40.2,9,41,22.0,28,32,87.5,5,42,47,22,10,11,3,19
"Jan 06, 2020 - MIL @ SAS",L,48,104,38,95,40.0,15,45,33.3,13,14,92.9,10,28,38,24,8,5,5,15
"Jan 04, 2020 - MIL vs. SAS",W,48,127,43,87,49.4,17,45,37.8,24,33,72.7,7,42,49,23,9,4,10,22
"Jan 01, 2020 - MIL vs. MIN",W,48,106,40,94,42.6,9,36,25.0,17,26,65.4,12,48,60,24,17,4,12,22
"Dec 30, 2019 - MIL @ CHI",W,48,123,46,84,54.8,11,32,34.4,20,24,83.3,10,49,59,29,18,6,9,17
"Dec 28, 2019 - MIL vs. ORL",W,48,111,43,84,51.2,13,37,35.1,12,18,66.7,14,44,58,30,25,6,5,13
"Dec 27, 2019 - MIL @ ATL",W,48,112,46,91,50.5,11,28,39.3,9,13,69.2,6,50,56,29,18,9,8,13
"Dec 25, 2019 - MIL @ PHI",L,48,109,45,95,47.4,13,33,39.4,6,8,75.0,8,39,47,23,10,6,6,15
"Dec 22, 2019 - MIL vs. IND",W,48,117,44,104,42.3,15,44,34.1,14,17,82.4,16,45,61,31,10,10,9,7
"Dec 21, 2019 - MIL @ NYK",W,48,123,41,85,48.2,18,43,41.9,23,35,65.7,8,44,52,26,19,9,14,16
"Dec 19, 2019 - MIL vs. LAL",W,48,111,36,77,46.8,16,39,41.0,23,32,71.9,8,32,40,22,14,14,7,25
"Dec 16, 2019 - MIL vs. DAL",L,48,116,44,105,41.9,11,41,26.8,17,24,70.8,15,37,52,29,9,8,4,23
"Dec 14, 2019 - MIL vs. CLE",W,48,125,46,85,54.1,14,37,37.8,19,26,73.1,8,33,41,26,12,12,6,17
"Dec 13, 2019 - MIL @ MEM",W,48,127,44,87,50.6,11,30,36.7,28,33,84.8,9,46,55,22,17,4,3,21
"Dec 11, 2019 - MIL vs. NOP",W,48,127,50,93,53.8,19,39,48.7,8,9,88.9,5,38,43,27,15,13,2,17
"Dec 09, 2019 - MIL vs. ORL",W,48,110,43,92,46.7,16,41,39.0,8,15,53.3,10,44,54,30,15,7,4,19
"Dec 06, 2019 - MIL vs. LAC",W,48,119,44,94,46.8,14,36,38.9,17,21,81.0,13,40,53,29,16,11,6,23
"Dec 04, 2019 - MIL @ DET",W,48,127,44,90,48.9,14,35,40.0,25,27,92.6,10,45,55,25,16,7,8,18
"Dec 02, 2019 - MIL vs. NYK",W,48,132,48,86,55.8,16,35,45.7,20,32,62.5,10,47,57,30,14,7,4,23
"Nov 30, 2019 - MIL vs. CHA",W,48,137,54,96,56.3,20,44,45.5,9,15,60.0,7,46,53,41,7,7,3,13
"Nov 29, 2019 - MIL @ CLE",W,48,119,45,88,51.1,12,34,35.3,17,23,73.9,11,36,47,28,13,7,4,15
"Nov 27, 2019 - MIL vs. ATL",W,48,111,42,88,47.7,10,34,29.4,17,27,63.0,10,37,47,25,14,6,11,23
"Nov 25, 2019 - MIL vs. UTA",W,48,122,43,97,44.3,13,41,31.7,23,29,79.3,15,34,49,21,9,6,6,15
"Nov 23, 2019 - MIL vs. DET",W,48,104,41,84,48.8,13,37,35.1,9,18,50.0,9,40,49,25,21,10,8,14
