MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - ORL @ MEM",W,48,120,43,92,46.7,14,33,42.4,20,22,90.9,12,29,41,31,16,10,3,26
"Mar 08, 2020 - ORL @ HOU",W,48,126,44,91,48.4,13,29,44.8,25,31,80.6,13,36,49,21,15,11,4,17
"Mar 06, 2020 - ORL @ MIN",W,48,132,51,84,60.7,7,21,33.3,23,31,74.2,6,39,45,31,11,5,5,18
"Mar 04, 2020 - ORL @ MIA",L,48,113,44,84,52.4,13,30,43.3,12,14,85.7,5,30,35,28,12,6,5,17
"Mar 02, 2020 - ORL vs. POR",L,48,107,37,96,38.5,14,43,32.6,19,22,86.4,11,28,39,29,6,3,2,11
"Feb 29, 2020 - ORL @ SAS",L,48,113,41,84,48.8,15,37,40.5,16,23,69.6,10,31,41,28,19,9,5,16
"Feb 28, 2020 - ORL vs. MIN",W,48,136,53,98,54.1,12,40,30.0,18,22,81.8,10,44,54,36,16,6,7,20
"Feb 26, 2020 - ORL @ ATL",W,48,130,49,100,49.0,14,32,43.8,18,25,72.0,13,39,52,30,9,7,9,21
"Feb 24, 2020 - ORL @ BKN",W,48,115,44,89,49.4,13,34,38.2,14,17,82.4,7,34,41,27,10,6,9,11
"Feb 21, 2020 - ORL vs. DAL",L,48,106,41,104,39.4,9,43,20.9,15,19,78.9,16,32,48,21,8,11,2,22
"Feb 12, 2020 - ORL vs. DET",W,53,116,44,96,45.8,12,36,33.3,16,18,88.9,9,37,46,34,13,13,7,16
"Feb 10, 2020 - ORL vs. ATL",W,48,135,50,95,52.6,18,38,47.4,17,22,77.3,14,31,45,33,11,9,5,14
"Feb 08, 2020 - ORL vs. MIL",L,48,95,37,98,37.8,10,40,25.0,11,14,78.6,10,36,46,28,9,10,6,15
"Feb 06, 2020 - ORL @ NYK",L,48,103,34,75,45.3,9,31,29.0,26,30,86.7,7,32,39,22,21,8,9,20
"Feb 05, 2020 - ORL @ BOS",L,48,100,32,75,42.7,13,31,41.9,23,30,76.7,9,30,39,20,17,10,6,13
"Feb 03, 2020 - ORL @ CHA",W,48,112,43,80,53.8,16,34,47.1,10,17,58.8,8,29,37,35,10,7,3,12
"Feb 01, 2020 - ORL vs. MIA",L,48,89,33,83,39.8,9,33,27.3,14,17,82.4,7,32,39,21,10,5,5,19
"Jan 27, 2020 - ORL @ MIA",L,48,92,33,89,37.1,11,37,29.7,15,19,78.9,11,30,41,23,7,7,6,13
"Jan 26, 2020 - ORL vs. LAC",L,48,97,34,95,35.8,7,32,21.9,22,32,68.8,16,28,44,27,7,9,7,23
"Jan 24, 2020 - ORL vs. BOS",L,48,98,36,90,40.0,12,37,32.4,14,19,73.7,13,33,46,18,14,5,1,14
"Jan 22, 2020 - ORL vs. OKC",L,48,114,44,92,47.8,14,35,40.0,12,16,75.0,11,28,39,26,15,9,3,25
"Jan 20, 2020 - ORL @ CHA",W,48,106,44,92,47.8,14,28,50.0,4,9,44.4,15,32,47,25,11,9,4,15
"Jan 18, 2020 - ORL @ GSW",L,48,95,39,86,45.3,9,31,29.0,8,13,61.5,9,37,46,21,15,7,5,12
"Jan 16, 2020 - ORL @ LAC",L,48,95,36,92,39.1,14,42,33.3,9,16,56.3,6,36,42,24,9,4,4,21
"Jan 15, 2020 - ORL @ LAL",W,48,119,43,94,45.7,10,26,38.5,23,29,79.3,13,35,48,22,13,10,2,15
"Jan 13, 2020 - ORL @ SAC",W,48,114,40,92,43.5,9,29,31.0,25,30,83.3,12,34,46,17,8,6,5,12
"Jan 10, 2020 - ORL @ PHX",L,48,94,33,89,37.1,9,33,27.3,19,24,79.2,14,35,49,15,16,9,6,23
"Jan 08, 2020 - ORL vs. WAS",W,48,123,43,87,49.4,10,27,37.0,27,34,79.4,13,38,51,24,17,18,3,21
"Jan 06, 2020 - ORL vs. BKN",W,48,101,35,81,43.2,8,26,30.8,23,31,74.2,11,49,60,21,20,8,3,19
"Jan 04, 2020 - ORL vs. UTA",L,48,96,38,85,44.7,11,37,29.7,9,12,75.0,9,37,46,21,10,6,5,12
"Jan 03, 2020 - ORL vs. MIA",W,48,105,33,81,40.7,13,35,37.1,26,29,89.7,7,37,44,25,11,11,4,17
"Jan 01, 2020 - ORL @ WAS",W,48,122,45,95,47.4,12,32,37.5,20,27,74.1,11,41,52,25,9,11,6,21
"Dec 30, 2019 - ORL vs. ATL",L,48,93,37,89,41.6,5,25,20.0,14,24,58.3,11,29,40,22,9,9,6,17
"Dec 28, 2019 - ORL @ MIL",L,48,100,35,87,40.2,14,35,40.0,16,19,84.2,5,29,34,21,11,16,7,17
"Dec 27, 2019 - ORL vs. PHI",W,48,98,37,88,42.0,10,30,33.3,14,23,60.9,10,38,48,26,16,4,5,21
"Dec 23, 2019 - ORL vs. CHI",W,48,103,39,81,48.1,10,26,38.5,15,23,65.2,6,40,46,23,13,10,13,15
"Dec 20, 2019 - ORL @ POR",L,48,103,39,106,36.8,7,28,25.0,18,26,69.2,18,30,48,21,10,14,5,16
"Dec 18, 2019 - ORL @ DEN",L,48,104,37,87,42.5,11,29,37.9,19,21,90.5,8,27,35,25,13,9,5,19
"Dec 17, 2019 - ORL @ UTA",L,48,102,42,93,45.2,7,35,20.0,11,15,73.3,4,37,41,21,3,6,5,18
"Dec 15, 2019 - ORL @ NOP",W,48,130,46,89,51.7,17,34,50.0,21,26,80.8,8,31,39,32,10,8,2,15
"Dec 13, 2019 - ORL vs. HOU",L,48,107,40,91,44.0,15,37,40.5,12,16,75.0,13,24,37,24,7,3,6,15
"Dec 11, 2019 - ORL vs. LAL",L,48,87,34,81,42.0,8,26,30.8,11,17,64.7,8,33,41,20,15,10,5,17
"Dec 09, 2019 - ORL @ MIL",L,48,101,35,92,38.0,10,31,32.3,21,26,80.8,9,35,44,24,12,8,10,18
"Dec 06, 2019 - ORL @ CLE",W,48,93,32,82,39.0,9,26,34.6,20,23,87.0,10,33,43,19,17,10,9,13
"Dec 04, 2019 - ORL vs. PHX",W,48,128,49,85,57.6,14,25,56.0,16,20,80.0,11,34,45,27,19,9,7,19
"Dec 03, 2019 - ORL @ WAS",W,48,127,46,90,51.1,15,31,48.4,20,27,74.1,8,40,48,26,13,3,4,18
"Dec 01, 2019 - ORL vs. GSW",W,48,100,37,87,42.5,11,33,33.3,15,22,68.2,12,36,48,21,15,7,8,20
"Nov 29, 2019 - ORL vs. TOR",L,48,83,27,78,34.6,7,29,24.1,22,27,81.5,13,39,52,17,24,10,11,19
"Nov 27, 2019 - ORL @ CLE",W,48,116,45,93,48.4,12,33,36.4,14,17,82.4,6,28,34,23,11,13,6,22
"Nov 25, 2019 - ORL @ DET",L,48,88,32,84,38.1,8,25,32.0,16,22,72.7,8,33,41,15,10,8,7,21
