MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 11, 2020 - PHI vs. DET",W,48,124,42,83,50.6,14,33,42.4,26,32,81.3,13,37,50,28,14,7,4,18
"Mar 07, 2020 - PHI @ GSW",L,48,114,41,84,48.8,13,34,38.2,19,22,86.4,11,30,41,29,11,3,2,21
"Mar 05, 2020 - PHI @ SAC",W,48,125,47,96,49.0,17,37,45.9,14,17,82.4,14,31,45,24,13,8,2,18
"Mar 03, 2020 - PHI @ LAL",L,48,107,38,85,44.7,16,40,40.0,15,20,75.0,12,30,42,24,15,10,1,17
"Mar 01, 2020 - PHI @ LAC",L,48,130,48,95,50.5,21,43,48.8,13,20,65.0,10,27,37,27,10,7,4,28
"Feb 27, 2020 - PHI vs. NYK",W,48,115,45,91,49.5,15,31,48.4,10,13,76.9,11,33,44,32,6,5,7,17
"Feb 26, 2020 - PHI @ CLE",L,48,94,36,89,40.4,13,38,34.2,9,14,64.3,8,23,31,22,9,13,9,11
"Feb 24, 2020 - PHI vs. ATL",W,48,129,45,88,51.1,12,30,40.0,27,30,90.0,9,39,48,27,12,9,5,22
"Feb 22, 2020 - PHI @ MIL",L,48,98,35,99,35.4,13,38,34.2,15,18,83.3,11,32,43,17,12,10,4,17
"Feb 20, 2020 - PHI vs. BKN",W,53,112,38,86,44.2,4,22,18.2,32,35,91.4,11,37,48,19,14,10,6,22
"Feb 11, 2020 - PHI vs. LAC",W,48,110,44,95,46.3,8,27,29.6,14,21,66.7,11,39,50,25,8,3,7,11
"Feb 09, 2020 - PHI vs. CHI",W,48,118,42,84,50.0,11,27,40.7,23,32,71.9,15,29,44,29,16,12,6,18
"Feb 07, 2020 - PHI vs. MEM",W,48,119,48,90,53.3,14,25,56.0,9,15,60.0,10,40,50,34,21,8,11,25
"Feb 06, 2020 - PHI @ MIL",L,48,101,37,99,37.4,19,45,42.2,8,14,57.1,11,39,50,24,11,7,4,14
"Feb 03, 2020 - PHI @ MIA",L,48,106,36,83,43.4,13,38,34.2,21,25,84.0,14,30,44,24,14,3,1,21
"Feb 01, 2020 - PHI @ BOS",L,48,95,31,84,36.9,7,33,21.2,26,31,83.9,13,34,47,15,14,6,3,27
"Jan 30, 2020 - PHI @ ATL",L,48,117,38,82,46.3,9,31,29.0,32,45,71.1,8,34,42,22,12,11,2,21
"Jan 28, 2020 - PHI vs. GSW",W,48,115,42,82,51.2,11,32,34.4,20,26,76.9,2,42,44,28,16,5,3,18
"Jan 25, 2020 - PHI vs. LAL",W,48,108,41,78,52.6,13,37,35.1,13,19,68.4,8,33,41,19,23,12,3,18
"Jan 22, 2020 - PHI @ TOR",L,48,95,32,84,38.1,18,46,39.1,13,18,72.2,8,37,45,25,13,8,6,23
"Jan 20, 2020 - PHI @ BKN",W,48,117,42,94,44.7,13,39,33.3,20,27,74.1,12,31,43,30,13,12,6,24
"Jan 18, 2020 - PHI @ NYK",W,48,90,34,78,43.6,10,32,31.3,12,19,63.2,5,36,41,26,14,8,6,19
