MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 09, 2020 - TOR @ UTA",W,48,101,36,83,43.4,13,36,36.1,16,18,88.9,14,39,53,22,20,9,2,14
"Mar 08, 2020 - TOR @ SAC",W,48,118,39,82,47.6,19,48,39.6,21,27,77.8,2,34,36,27,9,10,3,22
"Mar 05, 2020 - TOR @ GSW",W,48,121,40,84,47.6,13,41,31.7,28,31,90.3,3,36,39,28,12,10,3,24
"Mar 03, 2020 - TOR @ PHX",W,48,123,40,86,46.5,14,34,41.2,29,35,82.9,9,38,47,17,15,9,5,25
"Mar 01, 2020 - TOR @ DEN",L,48,118,41,89,46.1,10,38,26.3,26,29,89.7,8,28,36,24,12,9,4,24
"Feb 28, 2020 - TOR vs. CHA",L,48,96,33,95,34.7,10,43,23.3,20,29,69.0,14,31,45,19,5,11,3,25
"Feb 25, 2020 - TOR vs. MIL",L,48,97,32,91,35.2,18,52,34.6,15,21,71.4,9,34,43,21,17,4,5,26
"Feb 23, 2020 - TOR vs. IND",W,48,127,47,92,51.1,17,44,38.6,16,18,88.9,10,47,57,32,17,9,10,21
"Feb 21, 2020 - TOR vs. PHX",W,48,118,42,80,52.5,14,37,37.8,20,22,90.9,7,41,48,24,25,7,13,20
"Feb 12, 2020 - TOR @ BKN",L,48,91,34,90,37.8,13,43,30.2,10,13,76.9,6,36,42,21,13,6,4,20
"Feb 10, 2020 - TOR vs. MIN",W,48,137,51,89,57.3,17,33,51.5,18,23,78.3,9,32,41,29,20,15,4,26
"Feb 08, 2020 - TOR vs. BKN",W,48,119,45,95,47.4,14,35,40.0,15,21,71.4,13,35,48,22,7,6,5,22
"Feb 07, 2020 - TOR @ IND",W,48,115,42,88,47.7,17,38,44.7,14,17,82.4,8,31,39,28,16,12,3,22
"Feb 05, 2020 - TOR vs. IND",W,48,119,43,86,50.0,12,32,37.5,21,24,87.5,7,30,37,27,10,12,0,17
"Feb 02, 2020 - TOR vs. CHI",W,48,129,47,84,56.0,16,34,47.1,19,23,82.6,12,34,46,28,15,6,5,18
"Jan 31, 2020 - TOR @ DET",W,48,105,44,85,51.8,9,27,33.3,8,11,72.7,7,35,42,26,16,6,7,27
"Jan 30, 2020 - TOR @ CLE",W,48,115,41,84,48.8,12,32,37.5,21,28,75.0,9,28,37,23,14,13,3,20
"Jan 28, 2020 - TOR vs. ATL",W,48,130,48,97,49.5,13,43,30.2,21,27,77.8,10,42,52,26,13,10,6,26
"Jan 26, 2020 - TOR @ SAS",W,48,110,41,99,41.4,16,50,32.0,12,15,80.0,14,36,50,31,9,11,2,22
"Jan 24, 2020 - TOR @ NYK",W,48,118,41,81,50.6,17,35,48.6,19,23,82.6,5,26,31,25,7,10,6,20
"Jan 22, 2020 - TOR vs. PHI",W,48,107,40,86,46.5,13,33,39.4,14,21,66.7,8,45,53,27,12,6,2,19
"Jan 20, 2020 - TOR @ ATL",W,48,122,38,92,41.3,13,42,31.0,33,43,76.7,12,33,45,25,14,13,3,25
"Jan 18, 2020 - TOR @ MIN",W,48,122,47,91,51.6,13,35,37.1,15,17,88.2,7,35,42,25,14,13,9,23
"Jan 17, 2020 - TOR vs. WAS",W,48,140,52,91,57.1,22,43,51.2,14,16,87.5,7,34,41,35,19,16,2,24
"Jan 15, 2020 - TOR @ OKC",W,48,130,52,85,61.2,15,27,55.6,11,15,73.3,5,31,36,33,19,13,1,23
"Jan 12, 2020 - TOR vs. SAS",L,48,104,39,96,40.6,17,48,35.4,9,11,81.8,8,37,45,30,12,7,3,23
"Jan 08, 2020 - TOR @ CHA",W,53,112,42,94,44.7,14,36,38.9,14,20,70.0,14,32,46,34,13,7,5,23
"Jan 07, 2020 - TOR vs. POR",L,48,99,35,96,36.5,15,42,35.7,14,19,73.7,17,40,57,21,13,5,7,21
"Jan 04, 2020 - TOR @ BKN",W,48,121,44,97,45.4,13,32,40.6,20,28,71.4,15,28,43,21,8,10,4,25
"Jan 02, 2020 - TOR @ MIA",L,48,76,28,89,31.5,6,42,14.3,14,17,82.4,13,35,48,20,11,4,6,12
"Dec 31, 2019 - TOR vs. CLE",W,48,117,40,84,47.6,17,39,43.6,20,25,80.0,10,35,45,29,12,5,7,15
"Dec 29, 2019 - TOR vs. OKC",L,48,97,35,83,42.2,15,40,37.5,12,12,100,8,34,42,21,17,7,2,20
"Dec 28, 2019 - TOR @ BOS",W,48,113,44,84,52.4,14,34,41.2,11,17,64.7,15,38,53,27,22,8,3,32
"Dec 25, 2019 - TOR vs. BOS",L,48,102,38,80,47.5,8,23,34.8,18,22,81.8,7,27,34,17,17,13,7,13
"Dec 23, 2019 - TOR @ IND",L,53,115,43,94,45.7,11,40,27.5,18,24,75.0,12,38,50,30,16,6,8,22
"Dec 22, 2019 - TOR vs. DAL",W,48,110,37,94,39.4,10,34,29.4,26,31,83.9,14,37,51,21,12,12,5,21
"Dec 20, 2019 - TOR vs. WAS",W,48,122,38,78,48.7,12,30,40.0,34,44,77.3,6,36,42,26,17,6,3,25
"Dec 18, 2019 - TOR @ DET",W,48,112,39,91,42.9,13,35,37.1,21,24,87.5,12,35,47,27,12,9,6,20
"Dec 16, 2019 - TOR vs. CLE",W,48,133,52,89,58.4,16,32,50.0,13,17,76.5,6,35,41,31,7,7,2,19
"Dec 14, 2019 - TOR vs. BKN",W,48,110,38,98,38.8,14,40,35.0,20,25,80.0,10,41,51,21,11,10,10,23
"Dec 11, 2019 - TOR vs. LAC",L,48,92,31,88,35.2,8,36,22.2,22,25,88.0,15,32,47,21,18,10,8,24
