MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 09, 2020 - UTA vs. TOR",L,48,92,33,83,39.8,16,43,37.2,10,14,71.4,6,28,34,24,11,12,4,20
"Mar 07, 2020 - UTA @ DET",W,48,111,40,77,51.9,10,33,30.3,21,28,75.0,9,31,40,17,10,10,4,19
"Mar 06, 2020 - UTA @ BOS",W,48,99,36,80,45.0,17,45,37.8,10,12,83.3,8,32,40,23,18,8,7,19
"Mar 04, 2020 - UTA @ NYK",W,48,112,41,81,50.6,10,36,27.8,20,25,80.0,6,31,37,26,14,5,5,20
"Mar 02, 2020 - UTA @ CLE",W,48,126,47,83,56.6,20,41,48.8,12,14,85.7,8,39,47,30,15,3,7,17
"Feb 28, 2020 - UTA vs. WAS",W,48,129,44,89,49.4,19,37,51.4,22,30,73.3,15,39,54,23,15,7,5,22
"Feb 26, 2020 - UTA vs. BOS",L,48,103,40,89,44.9,12,40,30.0,11,15,73.3,13,28,41,16,10,5,3,16
"Feb 24, 2020 - UTA vs. PHX",L,48,111,32,68,47.1,10,26,38.5,37,43,86.0,5,25,30,16,20,8,2,23
"Feb 22, 2020 - UTA vs. HOU",L,48,110,42,90,46.7,7,31,22.6,19,24,79.2,6,40,46,18,13,1,2,14
"Feb 21, 2020 - UTA vs. SAS",L,48,104,35,82,42.7,12,33,36.4,22,26,84.6,6,41,47,25,17,4,6,18
"Feb 12, 2020 - UTA vs. MIA",W,48,116,41,85,48.2,14,36,38.9,20,23,87.0,10,43,53,23,15,6,3,16
"Feb 10, 2020 - UTA @ DAL",W,48,123,46,78,59.0,15,35,42.9,16,21,76.2,10,35,45,27,21,5,2,29
"Feb 09, 2020 - UTA @ HOU",W,48,114,42,86,48.8,15,38,39.5,15,18,83.3,10,38,48,25,16,2,4,14
"Feb 07, 2020 - UTA vs. POR",W,48,117,45,91,49.5,10,30,33.3,17,24,70.8,13,43,56,21,15,6,2,19
