MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - WAS vs. NYK",W,48,122,35,74,47.3,14,35,40.0,38,45,84.4,9,28,37,23,19,8,4,25
"Mar 08, 2020 - WAS vs. MIA",L,48,89,26,78,33.3,19,47,40.4,18,21,85.7,4,25,29,19,14,11,2,26
"Mar 06, 2020 - WAS vs. ATL",W,48,118,36,76,47.4,15,31,48.4,31,35,88.6,9,29,38,24,18,9,4,19
"Mar 04, 2020 - WAS @ POR",L,48,104,40,103,38.8,11,35,31.4,13,21,61.9,18,30,48,27,10,8,4,29
"Mar 03, 2020 - WAS @ SAC",L,48,126,41,80,51.3,16,38,42.1,28,34,82.4,2,29,31,28,14,10,5,22
"Mar 01, 2020 - WAS @ GSW",W,48,124,40,82,48.8,20,30,66.7,24,27,88.9,5,29,34,24,13,10,5,20
"Feb 28, 2020 - WAS @ UTA",L,48,119,45,98,45.9,14,37,37.8,15,21,71.4,13,28,41,23,11,12,4,20
"Feb 26, 2020 - WAS vs. BKN",W,48,110,41,96,42.7,15,39,38.5,13,16,81.3,9,30,39,22,11,9,2,26
"Feb 24, 2020 - WAS vs. MIL",L,53,134,47,98,48.0,15,35,42.9,25,33,75.8,6,35,41,27,17,8,0,27
"Feb 23, 2020 - WAS @ CHI",L,48,117,37,73,50.7,12,30,40.0,31,36,86.1,7,27,34,24,24,15,3,27
"Feb 21, 2020 - WAS vs. CLE",L,48,108,41,106,38.7,9,37,24.3,17,23,73.9,17,30,47,24,12,12,3,26
"Feb 12, 2020 - WAS @ NYK",W,48,114,40,84,47.6,10,28,35.7,24,33,72.7,6,34,40,25,14,13,7,21
"Feb 11, 2020 - WAS vs. CHI",W,48,126,48,89,53.9,11,32,34.4,19,24,79.2,9,35,44,28,17,11,6,16
"Feb 09, 2020 - WAS vs. MEM",L,48,99,35,100,35.0,7,33,21.2,22,29,75.9,9,41,50,25,7,7,4,22
"Feb 07, 2020 - WAS vs. DAL",W,48,119,45,90,50.0,19,38,50.0,10,13,76.9,8,31,39,28,13,8,4,19
"Feb 03, 2020 - WAS vs. GSW",L,48,117,42,83,50.6,9,22,40.9,24,29,82.8,2,33,35,28,11,6,4,24
"Feb 01, 2020 - WAS vs. BKN",W,48,113,44,100,44.0,9,32,28.1,16,26,61.5,18,33,51,21,10,9,8,20
"Jan 30, 2020 - WAS vs. CHA",W,48,121,41,86,47.7,14,37,37.8,25,27,92.6,19,38,57,24,20,3,6,22
"Jan 28, 2020 - WAS @ MIL",L,48,131,44,94,46.8,14,32,43.8,29,34,85.3,11,24,35,28,11,6,6,27
"Jan 26, 2020 - WAS @ ATL",L,48,133,42,88,47.7,11,33,33.3,38,42,90.5,8,26,34,20,12,5,7,26
"Jan 23, 2020 - WAS @ CLE",W,48,124,47,85,55.3,16,36,44.4,14,18,77.8,7,34,41,28,10,3,3,18
"Jan 22, 2020 - WAS @ MIA",L,53,129,50,99,50.5,13,42,31.0,16,20,80.0,7,34,41,30,11,10,5,29
"Jan 20, 2020 - WAS vs. DET",W,48,106,42,82,51.2,9,24,37.5,13,16,81.3,6,38,44,22,20,9,6,23
"Jan 17, 2020 - WAS @ TOR",L,48,111,40,89,44.9,15,35,42.9,16,23,69.6,13,30,43,19,28,9,3,16
"Jan 15, 2020 - WAS @ CHI",L,48,106,37,79,46.8,11,27,40.7,21,26,80.8,7,31,38,25,17,8,6,17
"Jan 12, 2020 - WAS vs. UTA",L,48,116,47,93,50.5,7,22,31.8,15,17,88.2,9,28,37,28,10,5,4,18
"Jan 10, 2020 - WAS vs. ATL",W,48,111,42,112,37.5,10,29,34.5,17,28,60.7,19,38,57,26,9,11,1,22
"Jan 08, 2020 - WAS @ ORL",L,48,89,36,84,42.9,6,23,26.1,11,19,57.9,10,30,40,24,23,8,5,22
"Jan 06, 2020 - WAS vs. BOS",W,48,99,39,84,46.4,7,21,33.3,14,23,60.9,7,40,47,18,14,8,9,22
"Jan 04, 2020 - WAS vs. DEN",W,48,128,50,91,54.9,6,16,37.5,22,27,81.5,14,35,49,20,11,5,6,28
"Jan 03, 2020 - WAS vs. POR",L,48,103,38,90,42.2,11,33,33.3,16,25,64.0,14,27,41,19,13,5,4,28
"Jan 01, 2020 - WAS vs. ORL",L,48,101,33,87,37.9,9,31,29.0,26,31,83.9,9,37,46,18,13,5,4,23
"Dec 30, 2019 - WAS vs. MIA",W,48,123,43,84,51.2,17,37,45.9,20,30,66.7,9,31,40,26,10,13,6,27
"Dec 28, 2019 - WAS vs. NYK",L,48,100,33,96,34.4,10,25,40.0,24,31,77.4,14,35,49,16,12,15,3,22
"Dec 26, 2019 - WAS @ DET",L,48,102,38,92,41.3,7,24,29.2,19,27,70.4,18,26,44,18,12,7,5,25
"Dec 23, 2019 - WAS @ NYK",W,48,121,47,100,47.0,10,30,33.3,17,30,56.7,16,32,48,27,9,12,7,12
"Dec 21, 2019 - WAS @ PHI",L,48,108,36,88,40.9,7,31,22.6,29,34,85.3,7,31,38,18,11,7,3,21
"Dec 20, 2019 - WAS @ TOR",L,48,118,40,87,46.0,14,39,35.9,24,32,75.0,8,31,39,24,15,6,1,28
"Dec 18, 2019 - WAS vs. CHI",L,53,109,34,95,35.8,14,45,31.1,27,32,84.4,14,41,55,21,16,8,7,20
"Dec 16, 2019 - WAS @ DET",W,48,133,49,88,55.7,18,34,52.9,17,21,81.0,7,28,35,31,16,6,5,27
"Dec 14, 2019 - WAS @ MEM",L,48,111,36,85,42.4,14,38,36.8,25,32,78.1,11,23,34,22,18,12,4,22
"Dec 10, 2019 - WAS @ CHA",L,48,107,38,90,42.2,11,35,31.4,20,25,80.0,13,32,45,27,10,7,7,24
"Dec 08, 2019 - WAS vs. LAC",L,48,119,40,88,45.5,14,33,42.4,25,30,83.3,8,30,38,28,14,5,3,22
"Dec 06, 2019 - WAS @ MIA",L,48,103,39,91,42.9,12,39,30.8,13,14,92.9,9,30,39,29,11,6,4,20
"Dec 05, 2019 - WAS vs. PHI",W,48,119,41,90,45.6,11,27,40.7,26,32,81.3,13,28,41,25,12,9,1,20
"Dec 03, 2019 - WAS vs. ORL",L,48,120,45,89,50.6,12,35,34.3,18,23,78.3,5,33,38,22,10,9,3,23
